วันที่ชำระเงิน,เวลาที่ชำระเงิน,หมายเลขใบเสร็จ / ID,รหัสถาดเก็บเงิน,ชื่อเมนู,ประเภทการสั่ง,จำนวน,ราคาต่อหน่วย,ยอดก่อนลด,ส่วนลดทั้งหมด,ส่วนลดทั้งหมด %,ราคาสุทธิ,ประเภทภาษีของรายการ,โต๊ะ,ประเภทการชำระเงิน,หมายเหตุ,หมวดสินค้า,สาขา
2023-10-01,11:48,OJ3YV,D2Z,SOBA โซบะ (002)เย็น/Cold x 1,Dine-In,1,100,100.00,0.0,0.0,100.00,VATable,2,โอนเงิน,,SOBA,JOJO SOBA SAMYAN
2023-10-01,11:48,OJ3YV,D2Z,GREEN TEA ชาเขียวจากสวนเราเอง,Dine-In,2,30,60.00,0.0,0.0,60.00,VATable,2,โอนเงิน,,DRINKS,JOJO SOBA SAMYAN
2023-10-01,11:48,OJ3YV,D2Z,CURRY SOBA โซบะแกงกะหรี่เอ็นวัว (010),Dine-In,1,169,169.00,0.0,0.0,169.00,VATable,2,โอนเงิน,,SOBA AND MORE,JOJO SOBA SAMYAN
2023-10-01,11:48,OJ3YV,D2Z,CUCUMBER SALAD สลัดแตงกวา (023),Dine-In,1,59,59.00,0.0,0.0,59.00,VATable,2,โอนเงิน,,APPETIZERS,JOJO SOBA SAMYAN
2023-10-01,11:48,OJ3YV,D2Z,SHRIMP TEMPURA 5 กุ้งเทมปุระ5ตัว (013),Dine-In,1,219,219.00,0.0,0.0,219.00,VATable,2,โอนเงิน,,SIDE DISH,JOJO SOBA SAMYAN
2023-10-01,12:58,H1N7H,D2Z,GYUDON(BEEF) ข้าวหน้าเนื้อ (016),Dine-In,1,139,139.00,0.0,0.0,139.00,VATable,3,โอนเงิน,,DONBURI,JOJO SOBA SAMYAN
2023-10-01,13:05,IMQ1A,D2Z,POTATO SALAD สลัดมันฝรั่ง (022),Delivery,1,59,59.00,0.0,0.0,59.00,VATable,Counter_86993f202d060790e88cdb4fa20ccd2c387da540b29ee74c552a20212a30b842,E-Payment,,APPETIZERS,JOJO SOBA SAMYAN
2023-10-01,13:05,IMQ1A,D2Z,SMOKED CHICKEN ไก่รมควัน (011),Delivery,1,79,79.00,0.0,0.0,79.00,VATable,Counter_86993f202d060790e88cdb4fa20ccd2c387da540b29ee74c552a20212a30b842,E-Payment,,SIDE DISH,JOJO SOBA SAMYAN
2023-10-01,13:05,IMQ1A,D2Z,SOBA โซบะ (002)เย็น/Cold x 1,Delivery,1,100,100.00,0.0,0.0,100.00,VATable,Counter_86993f202d060790e88cdb4fa20ccd2c387da540b29ee74c552a20212a30b842,E-Payment,,SOBA,JOJO SOBA SAMYAN
2023-10-01,13:05,IMQ1A,D2Z,ไม่รับช้อนส้อมพลาสติก,Delivery,1,0,0.00,0.0,0.0,0.00,VATable,Counter_86993f202d060790e88cdb4fa20ccd2c387da540b29ee74c552a20212a30b842,E-Payment,,,JOJO SOBA SAMYAN
2023-10-01,13:12,9EESS,D2Z,SOBA โซบะ (002)เย็น/Cold x 1,Dine-In,1,100,100.00,0.0,0.0,100.00,VATable,2,โอนเงิน,,SOBA,JOJO SOBA SAMYAN
2023-10-01,13:12,9EESS,D2Z,BEEF SOBA โซบะเนื้อ (008),Dine-In,1,179,179.00,0.0,0.0,179.00,VATable,2,โอนเงิน,,SOBA AND MORE,JOJO SOBA SAMYAN
2023-10-01,13:12,9EESS,D2Z,GENMAI CHA ชาข้าวคั่ว,Dine-In,1,30,30.00,0.0,0.0,30.00,VATable,2,โอนเงิน,,DRINKS,JOJO SOBA SAMYAN
2023-10-01,13:12,9EESS,D2Z,SOBA ORIGINAL (001)เย็น/Cold x 1,Dine-In,1,149,149.00,0.0,0.0,149.00,VATable,2,โอนเงิน,,SOBA,JOJO SOBA SAMYAN
2023-10-01,13:12,9EESS,D2Z,MINERAL WATER น้ำแร่,Dine-In,1,20,20.00,0.0,0.0,20.00,VATable,2,โอนเงิน,,DRINKS,JOJO SOBA SAMYAN
2023-10-01,13:34,JSOE5,D2Z,SOBA ORIGINAL (001)เย็น/Cold x 1,Dine-In,1,149,149.00,0.0,0.0,149.00,VATable,1,โอนเงิน,,SOBA,JOJO SOBA SAMYAN
2023-10-01,13:34,JSOE5,D2Z,MINERAL WATER น้ำแร่,Dine-In,1,20,20.00,0.0,0.0,20.00,VATable,1,โอนเงิน,,DRINKS,JOJO SOBA SAMYAN
2023-10-01,13:43,0KTQK,D2Z,SOBA FRIES โซบะทอด (025),Dine-In,1,59,59.00,0.0,0.0,59.00,VATable,4,โอนเงิน,,APPETIZERS,JOJO SOBA SAMYAN
